"900.piwik.system.label.group","Tracking"
"900.piwik.system.label.group.chart","Chart Configuration"
"900.piwik.system.label.token","Piwik Token"
"900.piwik.system.label.use-google","Use Google Chart"
"900.piwik.system.label.use-ttf","Use TTF (not on OS X)"
"900.piwik.system.label.enable","Enable"
"900.piwik.system.label.account-number","Account number"
"900.piwik.system.label.piwik-url","Piwik URL"
"900.error.invalid.piwik-configuration","Please configure Faett_Piwik extension"
"100.error.invalid.serialz", "Please buy a valid licence for extension %s"
"100.error.invalid.credentials", "Invalid channel login data for channel %s specified"
"100.error.invalid.channel", "Channel %s is not configured in Faett_Manager"
"Account number","Account number"
"Enable","Enable"
"Piwik","Piwik"
