"900.piwik.system.label.group","Tracking"
"900.piwik.system.label.group.chart","Chart Einstellungen"
"900.piwik.system.label.token","Piwik Token (für Authentifizierung)"
"900.piwik.system.label.use-google","Google Chart verwenden"
"900.piwik.system.label.use-ttf","TTF verwenden (nicht OS X)"
"900.piwik.system.label.enable","Aktivieren"
"900.piwik.system.label.account-number","Piwik Seiten-ID"
"900.piwik.system.label.piwik-url","Piwik URL"
"900.error.invalid.piwik-configuration","Bitte konfigurieren Sie die Faett_Piwik Extension"
"100.error.invalid.serialz", "Bitte kaufen Sie eine Lizenz für die Extension %s"
"100.error.invalid.credentials", "Bitte geben Sie Ihre Account-Daten für den Channel %s ein"
"100.error.invalid.channel", "Der Channel %s ist nicht im Faett_Manager konfiguriert"
"Account Nummer","Account Nummer"
"Aktivieren","Aktivieren"
"Piwik","Piwik"
